"AA_angle_gyro.pitch_x","AA_angle_gyro.pitch_y","AA_angle_gyro.roll_x","AA_angle_gyro.roll_y","AA_motor.motor_1_x","AA_motor.motor_1_y","AA_motor.motor_2_x","AA_motor.motor_2_y","AA_motor.motor_3_x","AA_motor.motor_3_y","AA_motor.motor_4_x","AA_motor.motor_4_y"
7932,0.004810209852,7932,-0.1155587286,7932,4167.284668,7932,3000,7932,7251.368164,7932,3000,
7982,0.03029645979,7982,-0.1138990968,7982,9822.40625,7982,3000,7982,3000,7982,4165.491699,
8032,0.03891219944,8032,-0.09499982744,8032,8573.199219,8032,3000,8032,6714.077148,8032,3000,
8082,0.04927684739,8082,-0.08624434471,8082,10470.30957,8082,3000,8082,3679.881348,8082,3000,
8132,0.06593804806,8132,-0.06395023316,8132,12011.00488,8132,3000,8132,3283.003662,8132,3000,
8182,0.084771052,8182,-0.05716217309,8182,11096.66797,8182,3000,8182,5606.613281,8182,3946.308594,
8232,0.09820821881,8232,-0.05878448859,8232,8366.110352,8232,3000,8232,5927.824219,8232,3000,
8282,0.09792067856,8282,-0.05373847485,8282,7268.605469,8282,3000,8282,7483.411133,8282,3000,
8332,0.09541141987,8332,-0.07055122405,8332,3000,8332,3000,8332,8686.799805,8332,7009.50293,
8382,0.08391761035,8382,-0.08640258759,8382,3000,8382,3000,8382,7757.828125,8382,4823.386719,
8432,0.07289038599,8432,-0.08999298513,8432,3424.324463,8432,3000,8432,7873.200195,8432,3735.202637,
8482,0.06803760678,8482,-0.09074988216,8482,3736.986328,8482,3000,8482,7277.810059,8482,3210.368408,
8532,0.05821372569,8532,-0.09312585741,8532,3000,8532,3000,8532,6385.487793,8532,3000,
8582,0.04836802557,8582,-0.0918707028,8582,3000,8582,3000,8582,5509.96582,8582,3000,
8632,0.03310252726,8632,-0.06865049899,8632,3000,8632,6830.283203,8632,6179.339844,8632,3000,
8682,0.01434088964,8682,-0.05854475126,8682,3423.042969,8682,6019.253906,8682,3255.970703,8682,3000,
8732,0.005143361166,8732,-0.04165769741,8732,3000,8732,3480.815674,8732,3503.875,8732,4076.209473,
8782,-0.01082885452,8782,-0.03439057246,8782,4077.959473,8782,4114.141602,8782,3246.730225,8782,3000,
8832,-0.03261244297,8832,-0.02464369312,8832,3000,8832,6589.57666,8832,4723.847656,8832,3000,
8882,-0.03436921164,8882,-0.02334075049,8882,3502.720703,8882,5261.222656,8882,3000,8882,3000,
8932,-0.04399264976,8932,-0.01050767582,8932,3000,8932,6138.104004,8932,3000,8932,3120.399658,
8982,-0.03643934429,8982,-0.001571056782,8982,6135.326172,8982,3000,8982,3000,8982,3000,
9032,-0.03638453782,9032,-0.005406678654,9032,3000,9032,3000,9032,4549.746582,9032,4621.84668,
9082,-0.04143682867,9082,-0.001409272547,9082,3000,9082,3864.509766,9082,3969.100586,9082,3000,
9132,-0.03900713474,9132,-0.00431102002,9132,3000,9132,3000,9132,3360.23877,9132,5496.412109,
9182,-0.03196601942,9182,0.0004635018122,9182,3887.232178,9182,4789.469727,9182,3000,9182,3686.676514,
9232,-0.02134021185,9232,-0.002612889512,9232,3629.530762,9232,3000,9232,3000,9232,5169.20459,
9282,-0.009285228327,9282,-0.006507658865,9282,3771.491455,9282,3000,9282,3000,9282,5992.429688,
9332,-0.01506484486,9332,-0.01432627439,9332,3000,9332,6852.008789,9332,3000,9332,7535.974121,
9382,-0.03203640878,9382,-0.01770681329,9382,3000,9382,7845.320801,9382,3000,9382,5510.087402,
9432,-0.04518746957,9432,-0.02562242374,9432,3000,9432,7446.132324,9432,4086.662598,9432,5701.722656,
9482,-0.05767285824,9482,-0.03670790792,9482,3000,9482,8146.376465,9482,3000,9482,8767.003906,
9532,-0.07089200616,9532,-0.0358206667,9532,3000,9532,11895.60449,9532,3000,9532,5388.030273,
9582,-0.07880885154,9582,-0.03315379098,9582,3000,9582,10269.31836,9582,3000,9582,6946.129395,
9632,-0.08027933538,9632,-0.03751216456,9632,3000,9632,6790.273926,9632,3000,9632,8607.21582,
9682,-0.07158724964,9682,-0.02818466537,9682,3000,9682,8152.935547,9682,3000,9682,6271.806641,
9732,-0.06231922656,9732,-0.01264248788,9732,3000,9732,9689.847656,9732,3000,9732,6343.074219,
9782,-0.06302119792,9782,-0.01934126206,9782,3000,9782,4496.169922,9782,3000,9782,6039.838379,
9832,-0.0565707013,9832,-0.02735400945,9832,3000,9832,3000,9832,3862.721924,9832,6812.720703,
9882,-0.05026609078,9882,-0.0286321044,9882,3166.387695,9882,3000,9882,3851.067871,9882,3000,
9932,-0.05731257424,9932,-0.03248991817,9932,3000,9932,3221.336914,9932,6163.650391,9932,4743.966797,
9982,-0.06497200578,9982,-0.03843260184,9982,3000,9982,4070.802246,9982,6467.316895,9982,3000,
10032,-0.06206502393,10032,-0.04701143131,10032,3000,10032,3000,10032,5385.61084,10032,8176.814453,
10082,-0.05652803183,10082,-0.04993605614,10082,3000,10082,3077.466064,10082,4223.329102,10082,4968.01123,
10132,-0.05907410383,10132,-0.04934328049,10132,3000,10132,5241.687012,10132,5348.959473,10132,3423.867188,
10182,-0.065340437,10182,-0.05346923321,10182,3000,10182,4947.072754,10182,4103.151855,10182,5532.083984,
10232,-0.07023429126,10232,-0.05796413124,10232,3000,10232,4495.101562,10232,4775.443359,10232,3412.474854,
10282,-0.06891042739,10282,-0.05798669904,10282,3000,10282,4359.930664,10282,4467.69043,10282,5079.464844,
10332,-0.07092810422,10332,-0.05067602545,10332,3000,10332,7774.547852,10332,3000,10332,3000,
10382,-0.06587698311,10382,-0.05229775608,10382,3000,10382,3944.171143,10382,3106.732422,10382,4200.700684,
10432,-0.05551898107,10432,-0.05711761117,10432,3000,10432,4726.318848,10432,4778.30957,10432,3584.099609,
10482,-0.03898543492,10482,-0.05933575332,10482,3000,10482,3000,10482,3041.236816,10482,6920.013672,
10532,-0.02599468455,10532,-0.0681399554,10532,3000,10532,3000,10532,5486.455078,10532,3879.958984,
10582,-0.02668615617,10582,-0.06705974042,10582,3000,10582,4551.06543,10582,4119.857422,10582,5248.286621,
10632,-0.02768100798,10632,-0.07385163009,10632,3000,10632,4423.663574,10632,5294.483887,10632,3346.348145,
10682,-0.02570049278,10682,-0.06946910918,10682,3000,10682,3000,10682,6188.231445,10682,3000,
10732,-0.02542371117,10732,-0.06503796577,10732,3000,10732,3728.515869,10732,5350.253418,10732,3000,
10782,-0.02752254345,10782,-0.05843189359,10782,3000,10782,4056.171143,10782,5002.052246,10782,3000,
10832,-0.02845921926,10832,-0.0493032299,10832,3000,10832,4634.326172,10832,3778.512939,10832,3000,
10882,-0.03136634827,10882,-0.04309269786,10882,3000,10882,4792.248535,10882,4690.620117,10882,3000,
10932,-0.02687050402,10932,-0.03763607144,10932,3000,10932,3233.013184,10932,4240.381836,10932,3226.373779,
10982,-0.02880221792,10982,-0.03622741997,10982,3000,10982,4524.149414,10982,5402.341797,10982,3000,
11032,-0.02850970253,11032,-0.02573933452,11032,3000,11032,4179.602051,11032,3123.355469,11032,3393.468262,
