"AA_angle_gyro.pitch_x","AA_angle_gyro.pitch_y","AA_angle_gyro.roll_x","AA_angle_gyro.roll_y","AA_motor.motor_1_x","AA_motor.motor_1_y","AA_motor.motor_2_x","AA_motor.motor_2_y","AA_motor.motor_3_x","AA_motor.motor_3_y","AA_motor.motor_4_x","AA_motor.motor_4_y"
13689,-0.0005832167808,13689,0.006993612275,13689,3000,13689,3000,13689,3031.54541,13689,4125.560547,
13739,-5.497649181e-05,13739,0.006681708153,13739,3000,13739,3000,13739,3456.555176,13739,3553.023682,
13789,0.003100500908,13789,0.006283106748,13789,3000,13789,3000,13789,3079.463135,13789,3903.721436,
13839,0.002611515345,13839,0.006530673243,13839,3172.060547,13839,3000,13839,3000,13839,3497.023682,
13889,0.003179957857,13889,0.006760928314,13889,3000,13889,3000,13889,3000,13889,3837.781006,
13939,0.0004242073337,13939,0.007240947802,13939,3000,13939,3000,13939,3523.569092,13939,3124.347656,
13989,0.002912806813,13989,0.007039744407,13989,3000,13989,3000,13989,3000,13989,4121.423828,
14039,0.003888134146,14039,0.008708142675,14039,3000,14039,3000,14039,3060.28418,14039,3339.787598,
14089,0.00574740814,14089,0.009722968563,14089,3353.612549,14089,3000,14089,3000,14089,3594.392822,
14139,0.007877176628,14139,0.01085784566,14139,3379.267578,14139,3000,14139,3000,14139,4091.182617,
14189,0.008513917215,14189,0.01041545067,14189,3000,14189,3000,14189,3189.375977,14189,3625.294678,
14239,0.008044833317,14239,0.01092537493,14239,3133.406738,14239,3000,14239,3000,14239,3603.962402,
14289,0.01013478544,14289,0.00830047112,14289,3000,14289,3000,14289,3143.092285,14289,4385.966797,
14339,0.008727748878,14339,0.006734982599,14339,3000,14339,3000,14339,3529.365723,14339,3545.869385,
14389,0.01021594275,14389,0.007418210618,14389,3000,14389,3000,14389,3000,14389,4115.712402,
14439,0.009889114648,14439,0.008317993954,14439,3000,14439,3000,14439,3276.87207,14439,3307.468018,
14489,0.007330514491,14489,0.009912708774,14489,3000,14489,3000,14489,3554.829102,14489,3067.455322,
14539,0.006976746954,14539,0.01037240773,14539,3000,14539,3000,14539,3143.002197,14539,3525.639404,
14589,0.007380418479,14589,0.01094439626,14589,3000,14589,3000,14589,3018.012451,14589,3699.363037,
14639,0.005683389492,14639,0.008441518061,14639,3000,14639,3000,14639,3497.199219,14639,3696.473145,
14689,0.004701482132,14689,0.01021592878,14689,3000,14689,3008.826904,14689,4121.96875,14689,3000,
14739,0.00466807792,14739,0.007308722939,14739,3000,14739,3000,14739,3116.102539,14739,4551.270996,
14789,0.007128062658,14789,0.005887396168,14789,3360.567627,14789,3000,14789,3000,14789,3851.260498,
14839,0.008470094763,14839,0.003917304799,14839,3000,14839,3000,14839,3467.536865,14839,4458.37793,
14889,0.01067787316,14889,0.003745095106,14889,3000,14889,3000,14889,3000,14889,3991.468262,
14939,0.01053621154,14939,0.00450265361,14939,3287.816406,14939,3000,14939,3098.874756,14939,3434.146484,
14989,0.009571683593,14989,0.004785253666,14989,33000,14989,33000,14989,33000,14989,34001.26172,
15039,0.01092560962,15039,0.005589901935,15039,33496.19922,15039,33000,15039,33000,15039,33780.01172,
15089,0.01199537609,15089,0.002766396385,15089,33000,15089,33000,15089,33000,15089,34908.5,
15139,0.0127689857,15139,0.002046055393,15139,33000,15139,33000,15139,33722.77734,15139,34202.06641,
15189,0.01167743932,15189,0.009155772626,15189,34846.8125,15189,35496.03906,15189,33000,15189,33000,
15239,-0.001789915492,15239,0.03660451621,15239,33949.57812,15239,37560.66406,15239,34471.82031,15239,33000,
15289,-0.02399755456,15289,0.05488113686,15289,34720.95312,15289,33769.28516,15289,36600.35156,15289,33000,
15339,-0.03488988057,15339,0.03714148328,15339,33000,15339,33000,15339,39386.17578,15339,33000,
15389,-0.02446457371,15389,0.0363012962,15389,41124.22266,15389,33000,15389,33000,15389,33000,
15439,-0.003082212061,15439,0.0791747421,15439,40931.125,15439,34661.35547,15439,33000,15439,33000,
15489,-0.02601083182,15489,0.08511307091,15489,33000,15489,35150.07031,15489,41877.84375,15489,33000,
15539,-0.0606479086,15539,0.06610063463,15539,33000,15539,33347.71875,15539,38378.21094,15539,33000,
15589,-0.04854757339,15589,0.08870400488,15589,42690.41797,15589,34561.16406,15589,33000,15589,33000,
15639,-0.04333086684,15639,0.1065703109,15639,33420.01953,15639,35719.54688,15639,35746.25781,15639,33000,
15689,-0.07518338412,15689,0.07417298853,15689,33000,15689,33000,15689,42606.52344,15689,33000,
15739,-0.07256955653,15739,0.06502692401,15739,38359.35547,15739,33000,15739,33000,15739,33000,
15789,-0.03531103954,15789,0.08635485917,15789,38807.07812,15789,33490.86719,15789,33000,15789,33000,
15839,-0.03000564687,15839,0.07438121736,15839,33000,15839,33000,15839,38345.98438,15839,33620.52344,
15889,-0.0489397198,15889,0.0481852293,15889,33000,15889,34370.98438,15889,35759.02344,15889,33000,
15939,-0.04085523635,15939,0.0482506007,15939,36575.58203,15939,33000,15939,33000,15939,33000,
15989,-0.01800858229,15989,0.04968045652,15989,34512.92969,15989,33000,15989,33000,15989,34634.79688,
16039,-0.01273342408,16039,0.03565625474,16039,33000,16039,33000,16039,35652.53125,16039,33281.41406,
16089,-0.01689401269,16089,0.02986974269,16089,35122.42188,16089,33000,16089,33167.98047,16089,33000,
16139,-0.01561791636,16139,0.03449375555,16139,34076.31641,16139,33467.55469,16139,34568.25781,16139,33000,
16189,-0.01637659781,16189,0.03088651597,16189,34505.25781,16189,33000,16189,34170.20312,16189,33000,
16239,-0.006139864214,16239,0.02582927607,16239,35296.09375,16239,33000,16239,33571.05469,16239,33169.12891,
16289,0.0002437866788,16289,0.007406017743,16289,33029.82812,16289,33000,16289,36346.89453,16289,34061.80859,
16339,0.00928394869,16339,-0.0005888768355,16339,37122.85547,16339,33000,16339,33000,16339,33000,
16389,0.02137111127,16389,-0.005091065075,16389,33532.16016,16389,33000,16389,35687.85938,16389,34860.84766,
16439,0.02255214751,16439,-0.0200596489,16439,34258.28906,16439,33000,16439,35462.32031,16439,33090.70312,
16489,0.0342855081,16489,-0.01144281682,16489,38685.46484,16489,33000,16489,33000,16489,33000,
16539,0.03766725212,16539,-0.01466661226,16539,33000,16539,33000,16539,36905.52344,16539,33187.61719,
16589,0.0332188867,16589,-0.03431937471,16589,33580.94922,16589,33000,16589,34372.82812,16589,35221.88672,
16639,0.04389294237,16639,-0.02649816684,16639,38002.29297,16639,33000,16639,33000,16639,33000,
16689,0.04225169122,16689,-0.01919107512,16689,33000,16689,33300.69922,16689,35520.79297,16689,33000,
16739,0.02843018807,16739,-0.02782263421,16739,33000,16739,33000,16739,35266.28125,16739,34031.64453,
16789,0.03641682491,16789,-0.0203971751,16789,37762.82812,16789,33000,16789,33000,16789,33000,
16839,0.04634934664,16839,-0.01388263609,16839,33000,16839,33000,16839,34085.23047,16839,35562.67969,
16889,0.03768835217,16889,-0.01302199438,16889,33541.52734,16889,34006.59766,16889,33781.70703,16889,33000,
16939,0.03051787056,16939,-0.003101379145,16939,34215.53906,16939,33084.82812,16939,33574.08203,16939,33000,
16989,0.02698053606,16989,-0.0007447084063,16989,34258.73047,16989,33000,16989,33571.37891,16989,33000,
17039,0.02860028669,17039,-0.004370232113,17039,33346.85938,17039,33000,17039,34432.07422,17039,33000,
17089,0.03099296428,17089,-0.01086034998,17089,34650.15234,17089,33000,17089,33204.6875,17089,34067.64844,
17139,0.03673841432,17139,-0.004604433663,17139,35521.94141,17139,33000,17139,33000,17139,33000,
17189,0.02819105797,17189,-0.003825875465,17189,33000,17189,33000,17189,35620.66797,17189,33000,
17239,0.01757260039,17239,-0.002390455222,17239,33357.05078,17239,33249.12109,17239,34139.89844,17239,33000,
17289,0.01773300208,17289,0.009485148825,17289,36215.86719,17289,33000,17289,33000,17289,33000,
17339,0.0167118106,17339,0.01891251467,17339,33115.27734,17339,33202.32422,17339,34261.03906,17339,33000,
17389,0.005266744178,17389,0.007615471724,17389,33000,17389,33000,17389,35540.37891,17389,33000,
17439,0.005613892339,17439,0.001435263897,17439,33394.17969,17439,33000,17439,34001.35547,17439,35081.85156,
17489,0.01742370799,17489,0.01027838327,17489,36615.80469,17489,33000,17489,33000,17489,33000,
17539,0.01196737308,17539,0.01332285535,17539,33000,17539,33330.75,17539,35978.52344,17539,33000,
17589,-0.005289197434,17589,0.005768120289,17589,33000,17589,34054.34375,17589,35282.07812,17589,33000,
17639,-0.004131572321,17639,0.01204179507,17639,36013.73438,17639,33000,17639,33000,17639,33000,
17689,0.003565725405,17689,0.01670751348,17689,33630.28125,17689,33000,17689,33394.9375,17689,33000,
17739,-0.003839957062,17739,0.005091042258,17739,33000,17739,33456.19922,17739,35285.46094,17739,33000,
17789,-0.008188159205,17789,0.001410857425,17789,33126.74219,17789,33000,17789,34364.54688,17789,33000,
17839,0.004705193453,17839,0.006832602434,17839,36604.16406,17839,33000,17839,33000,17839,33856.88672,
17889,0.007314811461,17889,0.003522854531,17889,33000,17889,33000,17889,35909.06641,17889,33000,
17939,0.0009695352637,17939,0.0009370835614,17939,33969.33594,17939,33712.87891,17939,33476.70703,17939,33000,
17989,-0.000181354495,17989,0.008576814085,17989,35194.10547,17989,33447.08594,17989,33000,17989,33000,
18039,-0.00167247362,18039,0.01505051833,18039,33000,18039,33000,18039,35294.48047,18039,33000,
18089,-0.009187599644,18089,0.01009616908,18089,33988.02734,18089,34265.89453,18089,33637.26562,18089,33000,
18139,-0.009269068018,18139,0.01111187693,18139,34654.28125,18139,33000,18139,33201.45312,18139,33793.64844,
18189,-0.004330428317,18189,0.01115117315,18189,33109.75,18189,33000,18189,34256.6875,18189,33000,
18239,-0.01104263775,18239,0.005540553015,18239,33000,18239,33087.12109,18239,34272.72266,18239,33000,
18289,-0.01324887667,18289,0.01033158787,18289,35254.78906,18289,34172.57422,18289,33000,18289,33000,
18339,-0.01291787811,18339,0.02196875773,18339,33597.5,18339,33295.83203,18339,34325.01562,18339,33000,
18389,-0.01911709644,18389,0.01478577591,18389,33000,18389,33000,18389,35165.07812,18389,33000,
18439,-0.01816828176,18439,0.008182482794,18439,34163.3125,18439,33000,18439,33515.08203,18439,33841.38672,
18489,-0.004459066316,18489,0.01668345928,18489,35577.34766,18489,33000,18489,33000,18489,33463.55078,
18539,-0.006857067812,18539,0.01935761049,18539,33466.80469,18539,34816.45703,18539,33957.67578,18539,33000,
18589,-0.01891390234,18589,0.01590456441,18589,33000,18589,33000,18589,36779.16016,18589,33000,
18639,-0.01619720645,18639,0.01672268845,18639,35546.26562,18639,33385.16797,18639,33000,18639,33000,
18689,-0.00860616751,18689,0.01367151458,18689,34239.54297,18689,33000,18689,33801.38672,18689,34894.26172,
18739,-0.01002737414,18739,0.004257395864,18739,33000,18739,33000,18739,36582.60156,18739,33000,
18789,-0.008144460618,18789,0.01112957392,18789,38078.27734,18789,33515.26172,18789,33000,18789,33000,
18839,-0.005853933748,18839,0.02384134568,18839,33398.80078,18839,33000,18839,34672.30078,18839,33000,
18889,-0.02279676124,18889,0.01939140074,18889,33000,18889,33851.59766,18889,37305.35547,18889,33000,
18939,-0.02551658824,18939,0.01780925132,18939,36495.75,18939,33000,18939,33000,18939,33000,
18989,-0.005529934075,18989,0.02270429768,18989,34905.35938,18989,33000,18989,33000,18989,35282.10938,
19039,-0.003384072566,19039,0.01556273457,19039,33000,19039,33000,19039,35448.34375,19039,33000,
19089,-0.0169043839,19089,0.005687391385,19089,33000,19089,33988.71875,19089,35603.61328,19089,33000,
19139,-0.01576394401,19139,0.01161289401,19139,35122.11719,19139,33000,19139,33000,19139,33000,
19189,-0.006666114088,19189,0.007435974665,19189,33857.46875,19189,33000,19189,33905.51172,19189,34096.69531,
19239,-0.01157027762,19239,-0.01051088609,19239,33000,19239,33000,19239,36737.46484,19239,34721.48438,
19489,-0.009457160719,19489,-0.01606906392,19489,34670.9375,19489,33310.90625,19489,33000,19489,33399.30859,
19539,-0.005318365991,19539,-0.004179656506,19539,33000,19539,34397.27344,19539,33000,19539,33000,
19639,-0.005393971223,19639,-0.02569644898,19639,33000,19639,33000,19639,34828.99609,19639,36935.3125,
19839,0.00469052745,19839,-0.04849823192,19839,33000,19839,33000,19839,34192.625,19839,34784.58594,
19939,0.00575706875,19939,-0.01208688784,19939,34455.73438,19939,33972.71094,19939,33000,19939,33682.03125,
19989,0.015711274,19989,-0.003672882915,19989,33353.06641,19989,33000,19989,33000,19989,36088.99219,
20039,0.01706832834,20039,-0.01383992191,20039,33000,20039,34736.01562,20039,33000,20039,34045.92578,
20089,0.001583600068,20089,-0.02209775336,20089,33000,20089,36595.9375,20089,33947.74609,20089,33000,
20139,-0.007090444211,20139,-0.03852314129,20139,33000,20139,33823.13281,20139,33651.71484,20139,35790.15234,
20189,-0.01073955186,20189,-0.05072725937,20189,33000,20189,35353.65234,20189,33000,20189,34772.69922,
20239,-0.02201157622,20239,-0.04090387374,20239,33000,20239,35737.57422,20239,33000,20239,34274.42578,
20289,-0.01657027565,20289,-0.03609673679,20289,33000,20289,33129.07422,20289,33000,20289,36725.65234,
20339,-0.005130114499,20339,-0.03022359312,20339,33000,20339,35046.79297,20339,33000,20339,34610.39062,
20389,-0.0008940760745,20389,-0.009735907428,20389,34317.36719,20389,37155.99219,20389,33000,20389,33000,
20439,0.01494145952,20439,-0.003799877129,20439,33182.53125,20439,33000,20439,33000,20439,37115.34766,
20489,0.0219535213,20489,-0.002661357634,20489,33244.64453,20489,34031.66016,20489,33000,20489,33000,
20539,0.008762362413,20539,0.01334633864,20539,33716.24219,20539,36874.97656,20539,33000,20539,33000,
20589,0.007152951788,20589,0.01847323216,20589,33833.19531,20589,33340.20703,20589,33000,20589,33000,
20639,0.02171704359,20639,-0.001539047691,20639,33000,20639,33000,20639,35480.72656,20639,37632.91016,
20689,0.03223663568,20689,-0.004210111685,20689,36192.87109,20689,33000,20689,33000,20689,33000,
20739,0.03001877479,20739,0.01890766621,20739,34376.72656,20739,35397.07812,20739,33000,20739,33000,
20789,0.02158925496,20789,0.02805907652,20789,33447.86328,20789,34677.57812,20789,33245.34375,20789,33000,
20839,0.02138855867,20839,0.02701228671,20839,33000,20839,33364.59375,20839,33625.96875,20839,33000,
20889,0.01986050978,20889,0.02164678648,20889,33313.69922,20889,33000,20889,33000,20889,33780.85938,
20939,0.01288267039,20939,0.02434686199,20939,33000,20939,33000,20939,34602.61719,20939,33000,
20989,0.005712192971,20989,0.02938315459,20989,34276.81641,20989,34860.66406,20989,34498.91016,20989,33000,
21039,-0.002766400576,21039,0.0268417988,21039,34377.73438,21039,33521.00391,21039,34655.375,21039,33000,
21089,-0.00659528235,21089,0.02598709054,21089,36373.98438,21089,33000,21089,33000,21089,33000,
21139,0.00184281345,21139,0.03084530123,21139,34904.62109,21139,33000,21139,33941.34375,21139,33000,
21339,0.01168866735,21339,-0.01345170848,21339,34112.32422,21339,33000,21339,35160.57031,21339,35176.86719,
21389,0.02199500613,21389,-0.01728299633,21389,36712.64453,21389,33000,21389,33272.71094,21389,33000,
21539,-0.00599192176,21539,0.005302167032,21539,35547.11719,21539,33000,21539,35199.44922,21539,33000,
21589,-0.008036034182,21589,-0.01716495305,21589,33000,21589,33000,21589,38995.63672,21589,35304.07031,
21639,0.005768907722,21639,-0.005160082132,21639,48114.19141,21639,42465.14844,21639,33000,21639,33000,
21689,-0.02122807316,21689,-0.009803468361,21689,33000,21689,33294.28125,21689,39654.91797,21689,33000,
21739,-0.03747123107,21739,-0.02647192031,21739,33167.73438,21739,33000,21739,35798.49609,21739,33000,
21939,-0.02701487951,21939,-0.04148344323,21939,36171.82031,21939,33000,21939,33000,21939,33000,
21989,0.01353110466,21989,-0.009080113843,21989,42275.17188,21989,33000,21989,33000,21989,34627.9375,
22039,0.02220469341,22039,-7.189516327e-05,22039,33000,22039,35011.83594,22039,34670.5625,22039,33000,
22089,-0.01595345885,22089,-0.02193500474,22089,33000,22089,33651.75781,22089,41503.57422,22089,33000,
22139,-0.02131949551,22139,-0.02668670937,22139,36176.58203,22139,33000,22139,33000,22139,33783.69531,
22189,0.01286302041,22189,0.0004164697602,22189,40669.48438,22189,34367.44141,22189,33000,22189,33000,
22239,0.01779646054,22239,0.00467872899,22239,33000,22239,33000,22239,36648.00781,22239,33255.39844,
22289,-0.001002167934,22289,-0.01753562316,22289,33000,22289,33000,22289,36805.73438,22289,33454.17969,
22339,-0.005243621301,22339,-0.009921559133,22339,37053.42969,22339,34771.75,22339,33000,22339,33000,
22389,0.001961076865,22389,0.014591638,22389,35831.48438,22389,33000,22389,33000,22389,33000,
22439,-0.006685043219,22439,0.02107467502,22439,33112.26172,22439,33821.82812,22439,36031.10156,22439,33000,
22489,-0.02123510838,22489,0.0242924355,22489,33637.84375,22489,33107.20312,22489,36101.64844,22489,33000,
22539,-0.01454486325,22539,0.04816127196,22539,40298.98828,22539,34147.01953,22539,33000,22539,33000,
22589,-0.01525055896,22589,0.06094796211,22589,33000,22589,33000,22589,37436.07031,22589,33000,
22639,-0.03457625955,22639,0.04552922398,22639,33000,22639,33000,22639,36847.85938,22639,33000,
22689,-0.02531751245,22689,0.05381303653,22689,39087.92188,22689,33000,22689,33000,22689,33000,
22739,-0.01264624577,22739,0.06117253378,22739,35649.89062,22739,33000,22739,34372.41016,22739,33000,
22839,-0.03000142053,22839,0.03827687353,22839,39610.81641,22839,33500,22839,33500,22839,33500,
22939,-0.006068448536,22939,0.04193219915,22939,33500,22939,33500,22939,40796.63672,22939,33883.46875,
22989,-0.02304962091,22989,0.0176676102,22989,33640.55859,22989,33500,22989,35483.75781,22989,33500,
23039,-0.004390270449,23039,0.02518384531,23039,39547.42578,23039,33500,23039,33500,23039,33500,
23089,0.01291329879,23089,0.02555039711,23089,34761.75,23089,33500,23089,35210.64844,23089,34319.38281,
23139,0.004074002616,23139,0.001795210061,23139,33500,23139,33500,23139,38521.57031,23139,33553.19922,
23189,0.008993855678,23189,-0.00525151426,23189,37841.58594,23189,33500,23189,33500,23189,33532.25,
23239,0.03317407146,23239,0.00323741138,23239,38424.11328,23239,33500,23239,33500,23239,35350.78516,
23289,0.02864340506,23289,-0.00642997399,23289,33500,23289,33500,23289,39055.64062,23289,33500,
23439,0.04086842015,23439,0.008690359071,23439,35783.33594,23439,33500,23439,33500,23439,33500,
23589,0.0328345038,23589,-0.002857351908,23589,40593.72266,23589,34537.83594,23589,33500,23589,33500,
23639,0.03174181655,23639,0.005737554282,23639,33500,23639,33500,23639,36321.60156,23639,33500,
23689,0.007378217299,23689,-0.01579419337,23689,33500,23689,33500,23689,39438.37891,23689,34638.46875,
23739,0.01160291675,23739,-0.01156740077,23739,39079.89062,23739,33500,23739,33500,23739,33500,
23789,0.03094964847,23789,0.0172839947,23789,38303.89062,23789,36043.70312,23789,33500,23789,33500,
23839,0.01949532703,23839,0.01100239996,23839,33500,23839,33500,23839,39283.96484,23839,34169.02344,
